date,open,high,low,close,volume,market cap
02-Jun-24,67710.27,68409.17,67315.53,67751.6,17110588415,1.33523E+12
01-Jun-24,67475.43,67839.77,67386.2,67706.94,11641495604,1.33434E+12
31-May-24,68362.52,68999.57,66633.42,67489.61,27387283769,1.32996E+12
30-May-24,67576.09,69500.54,67118.08,68364.99,29509712534,1.34713E+12
29-May-24,68296.35,68852.46,67101.49,67578.09,26707072906,1.3316E+12
28-May-24,69392.2,69514.64,67227.15,68296.22,32722265965,1.34576E+12
27-May-24,68512.18,70597.88,68232.5,69394.55,25870990717,1.36737E+12
26-May-24,69264.29,69506.23,68183.89,68518.09,15628433737,1.34997E+12
25-May-24,68526.92,69579.32,68515.82,69265.94,15473071741,1.36475E+12
24-May-24,67928.13,69220.29,66622.67,68526.1,29197308153,1.35019E+12
23-May-24,69121.3,70041.27,66356.95,67929.56,41895680979,1.33834E+12
22-May-24,70135.32,70623.69,68977.69,69122.34,32802561717,1.36183E+12
21-May-24,71443.06,71946.46,69191.12,70136.53,46932005990,1.38177E+12
20-May-24,66278.74,71483.57,66086.17,71448.2,43850655717,1.40751E+12
19-May-24,66937.93,67694.3,65937.18,66278.37,19249094538,1.30573E+12
18-May-24,67066.21,67387.33,66663.5,66940.8,16712277406,1.31874E+12
17-May-24,65231.3,67459.46,65119.31,67051.87,28031279310,1.32119E+12
16-May-24,66256.11,66712.43,64613.06,65231.58,31573077994,1.28501E+12
15-May-24,61553.99,66454.45,61330.41,66267.49,39815167074,1.30517E+12
14-May-24,62900.77,63092.13,61123.77,61552.79,28186271527,1.21251E+12
13-May-24,61451.22,63422.66,60769.84,62901.45,27889181179,1.23902E+12
12-May-24,60793.5,61818.15,60632.6,61448.39,13800459405,1.21044E+12
11-May-24,60793.36,61451.15,60492.63,60793.71,13842272968,1.19745E+12
10-May-24,63055.19,63446.74,60208.78,60792.78,27804954694,1.19742E+12
09-May-24,61191.2,63404.92,60648.08,63049.96,25453338161,1.24194E+12
08-May-24,62332.64,62986.08,60877.13,61187.94,26088172222,1.2052E+12
07-May-24,63162.76,64390.46,62285.98,62334.82,25930730982,1.22766E+12
06-May-24,64038.31,65494.9,62746.24,63161.95,28697928697,1.24398E+12
05-May-24,63892.45,64610.89,62955.31,64031.13,18296164805,1.2612E+12
04-May-24,62891.03,64494.96,62599.35,63891.47,20620477992,1.2583E+12
03-May-24,59122.3,63320.5,58848.31,62889.84,33172023048,1.23855E+12
02-May-24,58253.7,59602.3,56937.2,59123.43,32711813559,1.16433E+12
01-May-24,60609.5,60780.5,56555.29,58254.01,48439780271,1.14718E+12
30-Apr-24,63839.42,64703.33,59120.07,60636.86,37840840057,1.19354E+12
29-Apr-24,63106.36,64174.88,61795.46,63841.12,26635912073,1.25712E+12
28-Apr-24,63423.51,64321.48,62793.6,63113.23,17334827993,1.24266E+12
27-Apr-24,63750.99,63898.36,62424.72,63419.14,19530783039,1.24888E+12
26-Apr-24,64485.37,64789.66,63322.4,63755.32,24139372950,1.2553E+12
25-Apr-24,64275.02,65275.21,62783.63,64481.71,32155786816,1.26973E+12
24-Apr-24,66408.72,67075.37,63589.87,64276.9,30276655120,1.26556E+12
23-Apr-24,66839.89,67199.24,65864.87,66407.27,24310975583,1.30751E+12
22-Apr-24,64935.63,67233.96,64548.18,66837.68,28282686673,1.31599E+12
21-Apr-24,64992.82,65723.24,64277.72,64926.64,20506644853,1.2783E+12
20-Apr-24,63851.1,65442.46,63172.4,64994.44,23097485495,1.27957E+12
19-Apr-24,63510.75,65481.6,59651.39,63843.57,49920425401,1.25706E+12
18-Apr-24,61275.32,64125.69,60833.48,63512.75,36006307335,1.2503E+12
17-Apr-24,63831.85,64486.36,59768.59,61276.69,41915247049,1.20624E+12
16-Apr-24,63419.3,64355.67,61716.4,63811.86,42847528078,1.25651E+12
15-Apr-24,65739.64,66878.65,62332.07,63426.21,43595917654,1.24833E+12
14-Apr-24,63836.23,65824.43,62205.85,65738.72,49084320047,1.29392E+12
13-Apr-24,67188.38,67931.43,60919.11,63821.47,52869738185,1.25641E+12
12-Apr-24,70061.38,71222.74,65254.83,67195.86,44129299406,1.32232E+12
11-Apr-24,70575.73,71256.24,69571.81,70060.61,30153382941,1.37881E+12
10-Apr-24,69140.24,71093.43,67503.57,70587.88,38318601774,1.38887E+12
09-Apr-24,71632.5,71742.51,68212.92,69139.02,36426900409,1.36055E+12
08-Apr-24,69362.55,72715.36,69064.24,71631.36,37261432669,1.40953E+12
07-Apr-24,68897.11,70284.43,68851.63,69362.55,21204930369,1.3648E+12
06-Apr-24,67840.57,69629.6,67491.72,68896.11,19967785809,1.35557E+12
05-Apr-24,68515.75,68725.76,66011.48,67837.64,33748230056,1.33471E+12
04-Apr-24,65975.7,69291.25,65113.8,68508.84,34439527442,1.34793E+12
03-Apr-24,65446.67,66914.32,64559.9,65980.81,34488018367,1.2979E+12
02-Apr-24,69705.02,69708.38,64586.59,65446.97,50705240709,1.28744E+12
01-Apr-24,71333.48,71342.09,68110.7,69702.15,34873527352,1.37114E+12
31-Mar-24,69647.78,71377.78,69624.87,71333.65,20050941373,1.40311E+12
30-Mar-24,69893.44,70355.49,69601.07,69645.31,17130241883,1.36989E+12
29-Mar-24,70744.8,70913.1,69076.65,69892.83,25230851763,1.37466E+12
28-Mar-24,69452.77,71546.02,68895.51,70744.95,34374900617,1.39134E+12
27-Mar-24,69991.9,71727.68,68381.93,69455.34,40827113309,1.36586E+12
26-Mar-24,69931.33,71535.74,69335.61,69987.84,36010437368,1.3764E+12
25-Mar-24,67234.1,71162.59,66414.83,69958.81,42700139523,1.37515E+12
24-Mar-24,64070.75,67622.76,63825.85,67234.17,27206630673,1.32206E+12
23-Mar-24,63802.72,65976.4,63038.49,64062.2,24738964812,1.25979E+12
22-Mar-24,65489.93,66623.75,62355.37,63778.76,41401116964,1.25446E+12
21-Mar-24,67911.58,68199.99,64580.92,65491.39,44480350565,1.28757E+12
20-Mar-24,61930.15,68115.26,60807.79,67913.67,66792634382,1.33513E+12
19-Mar-24,67556.13,68106.93,61536.18,61912.77,74215844794,1.21748E+12
18-Mar-24,68371.31,68897.13,66594.23,67548.59,49261579492,1.32802E+12
17-Mar-24,65316.34,68845.72,64545.32,68390.62,44716864318,1.34398E+12
16-Mar-24,69392.49,70046.27,64801.4,65315.12,46842198371,1.28387E+12
15-Mar-24,71387.87,72357.13,65630.69,69403.77,78320453976,1.36393E+12
14-Mar-24,73079.37,73750.07,68563.02,71396.59,59594605698,1.40309E+12
13-Mar-24,71482.12,73637.47,71334.09,73083.5,48212536929,1.43627E+12
12-Mar-24,72125.12,72825.66,68728.85,71481.29,62554434520,1.40481E+12
11-Mar-24,69020.55,72850.71,67194.89,72123.9,65716656765,1.41738E+12
