Time,Low,High,Open,Close,Volume
25-Sep-2016,599.42,605.99,603.69,601.67,2577.178704
26-Sep-2016,600.02,607.99,601.67,607.08,4292.32724
27-Sep-2016,601.38,607.54,607.04,605.71,4345.518889
28-Sep-2016,603.18,606,605.71,605.04,3710.012072
29-Sep-2016,603.56,606.89,604.96,605.99,4106.832057
30-Sep-2016,605,608.99,605.99,608.99,4626.81937
01-Oct-2016,608.98,617.19,608.99,615.65,3480.015939
02-Oct-2016,608.66,615.9,615.65,612.4,2911.891891
03-Oct-2016,610.7,615.24,612.42,612.99,4436.782815
04-Oct-2016,606.93,613.23,612.99,610.34,5060.863128
05-Oct-2016,609.22,614.24,610.33,613.16,4454.403695
06-Oct-2016,610.3,613.39,613.16,611.88,3920.075316
07-Oct-2016,609.89,618.7,611.78,617.98,5119.9889
08-Oct-2016,617.55,620,618.11,619.5,2793.955354
09-Oct-2016,617,619.59,619.46,617.42,2329.862077
10-Oct-2016,615.46,619.2,617.43,618.72,3896.595826
11-Oct-2016,618.13,647.03,618.72,642.12,6316.502629
12-Oct-2016,631.91,643.58,642.3,635.79,4334.738703
13-Oct-2016,632,639.85,635.9,635.66,3845.214612
14-Oct-2016,624.08,639.99,635.8,638.03,4365.867025
15-Oct-2016,636,639.99,638.03,638.16,683.7980709
16-Oct-2016,637.87,643.91,638.16,641.92,2547.649699
17-Oct-2016,636.27,643.47,642.1,639.56,3950.241671
18-Oct-2016,632.15,640,639.56,635.11,4126.805978
19-Oct-2016,625.6,636.99,635.12,629.79,4465.148288
20-Oct-2016,626.01,629.99,629.79,628.05,4170.466267
21-Oct-2016,627.5,633.41,628.19,630.83,4162.76985
22-Oct-2016,629.32,658,630.67,652.75,4586.784521
